Age,Temp,Site,Source
0.039,13.15,ODP 1010,ODP
0.081,15.55,ODP 1010,ODP
0.12,18.22,ODP 1010,ODP
0.161,14.51,ODP 1010,ODP
0.2,17.31,ODP 1010,ODP
0.24,17.22,ODP 1010,ODP
0.28,15.62,ODP 1010,ODP
0.32,18.51,ODP 1010,ODP
0.36,14.13,ODP 1010,ODP
0.4,19.54,ODP 1010,ODP
0.44,13.46,ODP 1010,ODP
0.554,16.93,ODP 1010,ODP
0.601,18.02,ODP 1010,ODP
0.641,15.27,ODP 1010,ODP
0.683,17.37,ODP 1010,ODP
0.723,15.12,ODP 1010,ODP
0.764,16.58,ODP 1010,ODP
0.803,12.74,ODP 1010,ODP
0.838,15.14,ODP 1010,ODP
0.88,14.93,ODP 1010,ODP
0.918,15.34,ODP 1010,ODP
0.957,15.93,ODP 1010,ODP
0.977,16.22,ODP 1010,ODP
0.997,15.4,ODP 1010,ODP
1.017,16.41,ODP 1010,ODP
1.036,15.64,ODP 1010,ODP
1.055,19.05,ODP 1010,ODP
1.076,18.02,ODP 1010,ODP
1.098,18.35,ODP 1010,ODP
1.12,14.67,ODP 1010,ODP
1.141,17.47,ODP 1010,ODP
1.163,19.54,ODP 1010,ODP
1.185,18.22,ODP 1010,ODP
1.218,16.64,ODP 1010,ODP
1.276,16.13,ODP 1010,ODP
1.323,15.07,ODP 1010,ODP
1.375,18.74,ODP 1010,ODP
1.415,13.68,ODP 1010,ODP
1.46,16.94,ODP 1010,ODP
1.507,15.49,ODP 1010,ODP
1.552,14.13,ODP 1010,ODP
1.642,17.42,ODP 1010,ODP
1.687,17.94,ODP 1010,ODP
1.779,17.09,ODP 1010,ODP
1.86,17.99,ODP 1010,ODP
1.887,19.79,ODP 1010,ODP
1.928,18.03,ODP 1010,ODP
2.074,17.77,ODP 1010,ODP
2.164,17.89,ODP 1010,ODP
2.253,16.99,ODP 1010,ODP
2.347,18.92,ODP 1010,ODP
2.422,18.07,ODP 1010,ODP
2.435,18.55,ODP 1010,ODP
2.45,18.41,ODP 1010,ODP
2.462,17.02,ODP 1010,ODP
2.476,17.67,ODP 1010,ODP
2.5,17.73,ODP 1010,ODP
2.524,17.92,ODP 1010,ODP
2.547,17.04,ODP 1010,ODP
2.572,17.81,ODP 1010,ODP
2.611,16.51,ODP 1010,ODP
2.657,18.48,ODP 1010,ODP
2.703,19.01,ODP 1010,ODP
2.749,18.68,ODP 1010,ODP
2.794,16.11,ODP 1010,ODP
2.84,17.71,ODP 1010,ODP
2.886,17.12,ODP 1010,ODP
2.932,15.59,ODP 1010,ODP
2.933,15.8,ODP 1010,ODP
3.04,17.1,ODP 1010,ODP
3.118,17.57,ODP 1010,ODP
3.167,19.07,ODP 1010,ODP
3.191,16.25,ODP 1010,ODP
3.215,18.57,ODP 1010,ODP
3.242,18.87,ODP 1010,ODP
3.274,19.89,ODP 1010,ODP
3.302,15.45,ODP 1010,ODP
3.333,19.89,ODP 1010,ODP
3.386,18.65,ODP 1010,ODP
3.439,20.45,ODP 1010,ODP
3.492,19.96,ODP 1010,ODP
3.545,21.14,ODP 1010,ODP
3.573,19.66,ODP 1010,ODP
3.612,20,ODP 1010,ODP
3.652,20.61,ODP 1010,ODP
3.692,21.45,ODP 1010,ODP
3.732,20.5,ODP 1010,ODP
3.772,18.84,ODP 1010,ODP
3.852,21.39,ODP 1010,ODP
3.892,21.73,ODP 1010,ODP
3.934,21.36,ODP 1010,ODP
3.973,21.06,ODP 1010,ODP
4.005,20.2,ODP 1010,ODP
4.039,21.64,ODP 1010,ODP
4.072,23.09,ODP 1010,ODP
4.105,22.3,ODP 1010,ODP
4.138,22.45,ODP 1010,ODP
4.171,23.49,ODP 1010,ODP
4.193,21.98,ODP 1010,ODP
4.212,19.6,ODP 1010,ODP
4.23,20.14,ODP 1010,ODP
4.248,22.8,ODP 1010,ODP
4.266,23.59,ODP 1010,ODP
4.283,23.22,ODP 1010,ODP
4.48,21.36,ODP 1010,ODP
4.522,20.68,ODP 1010,ODP
4.565,21.07,ODP 1010,ODP
4.607,20.62,ODP 1010,ODP
4.658,21.42,ODP 1010,ODP
4.704,21.68,ODP 1010,ODP
4.751,20.95,ODP 1010,ODP
4.802,21.48,ODP 1010,ODP
4.834,21.27,ODP 1010,ODP
4.87,19.37,ODP 1010,ODP
4.9,21.08,ODP 1010,ODP
4.934,20.47,ODP 1010,ODP
4.969,21.64,ODP 1010,ODP
4.997,22.82,ODP 1010,ODP
5.024,21.81,ODP 1010,ODP
5.049,22,ODP 1010,ODP
5.072,22.86,ODP 1010,ODP
5.127,21.84,ODP 1010,ODP
5.135,19.41,ODP 1010,ODP
5.231,21.35,ODP 1010,ODP
5.432,21.66,ODP 1010,ODP
5.575,23.18,ODP 1010,ODP
5.752,19.23,ODP 1010,ODP
5.901,21.51,ODP 1010,ODP
5.951,22.53,ODP 1010,ODP
6.002,22.24,ODP 1010,ODP
6.102,22.7,ODP 1010,ODP
6.198,22.25,ODP 1010,ODP
6.372,23,ODP 1010,ODP
6.521,24.69,ODP 1010,ODP
6.67,23.12,ODP 1010,ODP
6.966,23.57,ODP 1010,ODP
7.108,24.23,ODP 1010,ODP
7.225,26.92,ODP 1010,ODP
7.249,25.16,ODP 1010,ODP
7.391,24.74,ODP 1010,ODP
7.532,22.51,ODP 1010,ODP
7.956,25.07,ODP 1010,ODP
8.098,23.82,ODP 1010,ODP
8.239,23.77,ODP 1010,ODP
8.38,25.26,ODP 1010,ODP
8.522,26.33,ODP 1010,ODP
8.663,25.82,ODP 1010,ODP
8.805,26.34,ODP 1010,ODP
9.087,25.47,ODP 1010,ODP
9.229,24.89,ODP 1010,ODP
9.37,25.57,ODP 1010,ODP
9.498,26.03,ODP 1010,ODP
9.554,26.74,ODP 1010,ODP
9.609,26.46,ODP 1010,ODP
9.665,25.83,ODP 1010,ODP
9.775,26.27,ODP 1010,ODP
9.831,25.08,ODP 1010,ODP
9.886,26.23,ODP 1010,ODP
9.936,26.91,ODP 1010,ODP
9.99,24.33,ODP 1010,ODP
10.045,26.12,ODP 1010,ODP
10.267,25.44,ODP 1010,ODP
10.38,26.55,ODP 1010,ODP
10.491,25.86,ODP 1010,ODP
11.015,26.16,ODP 1010,ODP
11.453,27.27,ODP 1010,ODP
11.495,27.11,ODP 1010,ODP
11.534,26.88,ODP 1010,ODP
11.618,26.8,ODP 1010,ODP
11.66,27.15,ODP 1010,ODP
11.702,27.07,ODP 1010,ODP
11.744,26.91,ODP 1010,ODP
11.785,26.91,ODP 1010,ODP
11.786,26.93,ODP 1010,ODP
11.828,27.43,ODP 1010,ODP
11.954,27.48,ODP 1010,ODP
11.996,27.22,ODP 1010,ODP
12.033,26.99,ODP 1010,ODP
12.075,27.25,ODP 1010,ODP
12.117,27.24,ODP 1010,ODP
12.159,27.37,ODP 1010,ODP
12.201,27.4,ODP 1010,ODP
12.259,27,ODP 1010,ODP
12.331,27.29,ODP 1010,ODP
12.403,27.16,ODP 1010,ODP
12.475,26.97,ODP 1010,ODP
12.547,27.17,ODP 1010,ODP
12.619,27.09,ODP 1010,ODP
12.763,27.41,ODP 1010,ODP
12.835,27.3,ODP 1010,ODP
12.868,27.4,ODP 1010,ODP
