Sample,Section,Master Strat,Strat Height Adjusted,Strat Height,d18O,d13C,Ampl44,Original.Wt,target.wt,target.wt.factor,reweigh,no.carb,reweigh0.5,Original Sheet,Average d18O,Average d13C,Bulk Age,Section Lat,Section Long,Site Section
22PB02,PB,,,,-16.27,-6.56,3346.67,174,249.56,1.43,FALSE,FALSE,FALSE,2024 Nov 15,-16.27,-6.56,,,,
4S 19.0,4S,169,169,19,-9.55,-4.51,6104.56,364,286.21,0.79,FALSE,FALSE,FALSE,2024 Oct 19,,,13.7,35.25311713,-106.8810949,AB
4S 23.2,4S,173.2,173.2,23.2,-9.76,-4.85,5846.78,366,300.47,0.82,FALSE,FALSE,FALSE,2024 Oct 19,,,13.7,35.25311713,-106.8810949,AB
4S 23.7,4S,173.7,173.7,23.7,-8.58,-4.4,4792.56,357,357.55,1,FALSE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
4S 32.0,4S,182,182,32,-8.95,-4.56,5073.11,341,322.64,0.95,FALSE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
4S 36.1,4S,186.1,186.1,36.1,-9.08,-4.86,5392.89,356,316.86,0.89,FALSE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
4S 37.5b,4S,187.5,187.5,37.5,-8.63,-4.46,4374.22,333,365.41,1.1,FALSE,FALSE,FALSE,2024 Oct 19,,,13.7,35.25311713,-106.8810949,AB
4S 45.9,4S,195.9,195.9,45.9,-8.62,-5.2,6928,385,266.74,0.69,TRUE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
4S 45.9b,4S,195.9,195.9,45.9,-15.08,-8.74,68.14,347,24442.77,70.44,TRUE,TRUE,TRUE,2024 Oct 19,,,13.7,35.25311713,-106.8810949,AB
4S 48.2,4S,198.2,198.2,48.2,-8.77,-4.31,6454.67,367,272.92,0.74,TRUE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
4S 48.5,4S,198.5,198.5,48.5,-9.27,-5.02,3837.56,381,476.55,1.25,FALSE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
4S 49.5,4S,199.5,199.5,49.5,-8.98,-4.62,5699.44,346,291.4,0.84,FALSE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
4S 82.9,4S,232.9,232.9,82.9,-8.41,-5.24,4248.22,358,404.5,1.13,FALSE,FALSE,FALSE,2024 Oct 3,,,13.7,35.25311713,-106.8810949,AB
AB 0.5,AB,0.5,0.5,0.5,-10.88,-4.49,4052.78,360,426.37,1.18,FALSE,FALSE,FALSE,2024 Apr 04,,,18.1,35.282145,-106.87762,AB
AB 10.1,AB,10.1,10.1,10.1,-11.03,-4.55,4889.44,349,342.62,0.98,FALSE,FALSE,FALSE,2024 Nov 07,,,18.1,35.282145,-106.87762,AB
AB 11.7,AB,11.7,11.7,11.7,-11.42,-5.33,152.56,358,11264.09,31.46,TRUE,TRUE,TRUE,2024 Oct 3,,,18.1,35.282145,-106.87762,AB
AB 13.1,AB,13.1,13.1,13.1,-7.77,-1.59,377.67,362,4600.88,12.71,TRUE,TRUE,TRUE,2024 Apr 04,,,18.1,35.282145,-106.87762,AB
AB 13.3,AB,13.3,13.3,13.3,-9.69,-4.31,2872.44,369,616.62,1.67,TRUE,FALSE,FALSE,2024 Oct 19,,,18.1,35.282145,-106.87762,AB
AB 14.6,AB,14.6,14.6,14.6,-10.76,-4.04,4204.33,289,329.95,1.14,FALSE,FALSE,FALSE,2024 Mar 08,,,18.1,35.282145,-106.87762,AB
AB 2.3,AB,2.3,2.3,2.3,-11.66,-5.52,4255.22,615,693.74,1.13,FALSE,FALSE,FALSE,2024 Nov 19,-11.66,-5.52,18.1,35.282145,-106.87762,AB
AB 21.8,AB,21.8,21.8,21.8,-9.79,-4.53,4047.22,342,405.61,1.19,FALSE,FALSE,FALSE,2024 Nov 07,,,18.1,35.282145,-106.87762,AB
AB 22.5,AB,22.5,22.5,22.5,-10.24,-4.97,4357.56,365,402.06,1.1,FALSE,FALSE,FALSE,2024 Oct 3,,,18.1,35.282145,-106.87762,AB
AB 24.2,AB,24.2,24.2,24.2,-10.8,-4.64,3145.22,300,457.84,1.53,TRUE,FALSE,FALSE,2024 Mar 08,,,18.1,35.282145,-106.87762,AB
AB 3.1,AB,3.1,3.1,3.1,-10.87,-5.41,4698,348,355.56,1.02,FALSE,FALSE,FALSE,2024 Nov 07,,,18.1,35.282145,-106.87762,AB
AB 32.5,AB,32.5,32.5,32.5,-8.9,-5.36,160.44,297,8885.32,29.92,TRUE,TRUE,TRUE,2024 Mar 08,,,18.1,35.282145,-106.87762,AB
AB 32.7,AB,32.7,32.7,32.7,-7.62,-4.33,4770.22,359,361.24,1.01,FALSE,FALSE,FALSE,2024 Nov 07,,,18.1,35.282145,-106.87762,AB
AB 33.0,AB,33,33,33,-5.67,-4.44,5843.22,337,276.83,0.82,FALSE,FALSE,FALSE,2024 Nov 07,,,18.1,35.282145,-106.87762,AB
AB 4.2,AB,4.2,4.2,4.2,-11.49,-4.36,5657.89,367,311.35,0.85,FALSE,FALSE,FALSE,2024 Nov 07,,,18.1,35.282145,-106.87762,AB
AB 41.5,AB,41.5,41.5,41.5,-11.52,-4.7,3265.56,340,499.76,1.47,TRUE,FALSE,FALSE,2024 Apr 04,-11.555,-4.735,18.1,35.282145,-106.87762,AB
AB 41.5,AB,41.5,41.5,41.5,-11.59,-4.77,2764.22,368,639.02,1.74,TRUE,FALSE,FALSE,2024 Oct 3,-11.555,-4.735,18.1,35.282145,-106.87762,AB
AB 44.6a,AB,,,44.6,-10.78,-5.32,6142.78,338,264.12,0.78,FALSE,FALSE,FALSE,2024 Nov 19,,,18.1,35.282145,-106.87762,AB
AB 44.6b,AB,44.6,44.6,44.6,-9.86,-5.47,174.44,361,9933.25,27.52,TRUE,TRUE,TRUE,2024 Apr 04,-10.06,-5.62,18.1,35.282145,-106.87762,AB
AB 44.6b,AB,44.6,44.6,44.6,-10.26,-5.77,166.33,343,9898.2,28.86,TRUE,TRUE,TRUE,2024 Oct 3,-10.06,-5.62,18.1,35.282145,-106.87762,AB
AB 5.2,AB,5.2,5.2,5.2,-11.4,-5.08,4249,315,355.85,1.13,FALSE,FALSE,FALSE,2024 Mar 08,,,18.1,35.282145,-106.87762,AB
AB 5.5,AB,5.5,5.5,5.5,-10.53,-4.6,3680.11,344,448.68,1.3,TRUE,FALSE,FALSE,2024 Apr 04,,,18.1,35.282145,-106.87762,AB
AB 7.0,AB,7,7,7,-10.78,-4.21,6064.56,361,285.73,0.79,FALSE,FALSE,FALSE,2024 Apr 04,,,18.1,35.282145,-106.87762,AB
AB 8.5,AB,8.5,8.5,8.5,-10.73,-4.6,4771.56,351,353.09,1.01,FALSE,FALSE,FALSE,2024 Apr 04,,,18.1,35.282145,-106.87762,AB
AB2 0.3,AB2,55.3,55.3,0.3,-10.62,-5.26,4851.11,300,296.84,0.99,FALSE,FALSE,FALSE,2024 Mar 08,,,15.3,35.41356667,-106.8721913,AB
AB2 1.7,AB2,56.7,56.7,1.7,-11.6,-4.98,3424.78,344,482.13,1.4,FALSE,FALSE,FALSE,2024 Oct 19,,,15.3,35.41356667,-106.8721913,AB
AB2 2.8,AB2,57.8,57.8,2.8,-11.15,-4.69,4114.33,362,422.33,1.17,FALSE,FALSE,FALSE,2024 Oct 19,,,15.3,35.41356667,-106.8721913,AB
